,tsa_wrong_number,answer,add,delete
0,2997.23,29977.23,7,
1,2654.33,23654.33,3,
2,8990.44,68990.44,6,
3,4672.93,46772.93,7,
4,1751287,17512.87,.,
5,2330.26,22330.26,2,
6,2373182,23731.82,.,
7,2097.64,20977.64,7,
8,5720.02,65720.02,6,
9,9747.64,97747.64,7,
10,2679.79,26779.79,7,
11,2441.3,29441.3,9,
12,2147.79,52147.79,5,
13,72773.87,72773.67,6,8
14,4660.24,46600.24,0,
15,2437.56,22437.56,2,
16,2472.66,22472.66,2,
17,234166,23416.6,.,
18,8771.39,55771.39,5|5,8
19,4408.77,44008.77,0,
20,6184.81,61884.81,8,
21,2429.81,23429.81,3,
22,4822232,48222.32,.,
23,2434.44,22434.44,2,
24,2618.9,22618.9,2,
25,2895.42,28955.42,5,
26,4710.14,47100.14,0,
27,5992.88,59392.88,3,
28,1456745,14567.45,.,
29,2813.73,22813.73,2,
30,2163.6,22163.6,2,
31,9002.02,90022.02,2,
32,7905.62,77905.62,7,
33,4410.28,44100.28,0,
34,7908.15,77908.15,7,
35,6317.08,63177.08,7,
36,6661.35,66661.35,6,
37,5719.16,57719.16,7,
38,6847.77,68477.77,7,
39,§8827.21,58827.21,5,§
40,20441.44,29441.44,9,0
41,4371262,43712.62,.,
42,8775.08,87775.08,7,
43,327306,32730.6,.,
44,2452.12,25452.12,5,
45,82043.91,82943.91,9,0
46,9626.89,69626.89,6,
47,2730.51,22730.51,2,
48,3478.4,34778.4,7,
49,2424.03,24244.03,4,
50,7246.48,77246.48,7,
51,9627.74,96627.74,6,
52,531208,53120.8,.,
53,6989.93,69899.93,9,
54,849703,84970.3,.,
55,89415.,89415.1,1,
56,§3714.31,53714.31,5,§
57,2328.03,23228.03,2,
58,"15075.3,",15075.3,,","
59,§7131.2,57131.2,5,§
60,3037.27,30377.27,7,
61,295971,29597.1,.,
62,131964,13196.4,.,
63,7489.34,77489.34,7,
64,2834.79,28334.79,3,
65,9484.35,94384.35,3,
66,6926.74,66926.74,6,
67,6911.47,66911.47,6,
68,§3712.01,53712.01,5,§
69,1734248,17342.48,.,
70,6794.38,67944.38,4,
71,0094.45,60094.45,6,
72,2382.41,22382.41,2,
73,94991.4,84991.4,8,9
74,2742.21,22742.21,2,
75,7878.14,77878.14,7,
76,2846.22,28446.22,4,
77,7934.73,57934.73,5,
78,7147.41,77147.41,7,
79,2046.28,29046.28,9,
80,6037.56,60377.56,7,
81,4448.48,44448.48,4,
82,437721,43772.1,.,
83,7765.41,77765.41,7,
84,2670.78,26700.78,0,
85,(25467.2,25467.2,,(
86,2960.39,29600.39,0,
87,6222.54,62222.54,2,
88,2827.49,28227.49,2,
89,0628.63,60628.63,6,
90,2861.94,22861.94,2,
91,2720.32,27200.32,0,
92,134111,13411.1,.,
93,6801.29,66801.29,6,
94,2534.04,25344.04,4,
95,7401.29,57401.29,5,
96,5099.46,65099.46,6,
97,2388.99,22388.99,2,
98,2164.82,22164.82,2,
99,2600.46,21600.46,1,
100,7489.69,77489.69,7,
101,4374775,43747.75,.,
